1-měl_	měly	měla
1-všechn_	všechna	všechny
1-výhr_	výhry	výhra
1-strav_	stravy	strava
1-přišl_	přišla	přišly
2-rubri_	rubrika	rubriky	rubrice
1-věnoval_	věnovaly	věnovala
2-podnikatel_	podnikatelka	podnikatelce
2-politi_	politice	politiky	politika
1-platil_	platila	platily
1-snah_	snaha	snahy
1-výstavb_	výstavba	výstavby
1-desetin_	desetina	desetiny
2-záru_	záruka	záruky	zárukou
1-společník_	společníka	společníky
1-zákon_	zákona	zákony
2-vlastní_	vlastníky	vlastníka
2-japons_	japonskou	japonska
1-tabulk_	tabulky	tabulka
1-sázk_	sázky	sázka
1-udělal_	udělala	udělaly
2-krajin_	krajinky	krajinka
2-di_	dika	diky
1-přestávk_	přestávky	přestávka
1-potřeb_	potřeby	potřeba
1-rodin_	rodiny	rodina
1-vrstv_	vrstvy	vrstva
2-ro_	roce	roky
1-byl_	byla	byly
1-bavln_	bavlna	bavlny
1-výstav_	výstavy	výstava
1-výrob_	výroba	výroby
2-společní_	společníka	společníky
1-pošt_	pošty	pošta
1-sad_	sady	sada
1-dodávk_	dodávka	dodávky
1-korun_	koruna	koruny
1-vycházel_	vycházely	vycházela
2-dodáv_	dodávka	dodávky
1-půjčk_	půjčky	půjčka
1-autor_	autora	autory
1-poptávk_	poptávka	poptávky
1-firm_	firmy	firma
1-pokladn_	pokladna	pokladny
2-správ_	správce	správky
1-agentur_	agentura	agentury
1-evrop_	evropa	evropy
1-vad_	vady	vada
1-toyot_	toyoty	toyota
1-zahrad_	zahrada	zahrady
1-díln_	dílna	dílny
1-položk_	položky	položka
